"CurveID","CurveLabel","Species","Temp","Medium","Rep","BestModel","BestAIC","BestBIC","SuccessfulModels"
"C001","Acinetobacter.clacoaceticus..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",15,"TSB",1,"Cubic",-8.63494058263749,-3.17972831584591,3
"C002","Acinetobacter.clacoaceticus..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",25,"TSB",1,"Gompertz",-11.8884897158322,-8.34823871032117,3
"C003","Acinetobacter.clacoaceticus..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",35,"TSB",1,"Gompertz",-20.4331379315737,-16.8928869260626,3
"C004","Acinetobacter.clacoaceticus..RDA.R._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",5,"TSB",1,"Cubic",-98.3635687684971,-91.5270896185647,3
"C005","Acinetobacter.clacoaceticus.1_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",15,"TSB",1,"Gompertz",-20.6031567470467,-15.1479444802551,3
"C006","Acinetobacter.clacoaceticus.1_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",25,"TSB",1,"Cubic",-6.57182733335805,-3.37654068528176,3
"C007","Acinetobacter.clacoaceticus.1_35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",35,"TSB",1,"Gompertz",-21.9077625802677,-18.0448189690688,3
"C008","Acinetobacter.clacoaceticus.1_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.1",5,"TSB",1,"Cubic",-113.376402326243,-106.539923176311,3
"C009","Acinetobacter.clacoaceticus.2_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",15,"TSB",1,"Gompertz",10.0009493095901,16.0953284339311,3
"C010","Acinetobacter.clacoaceticus.2_25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus.2",25,"TSB",1,"Gompertz",-0.141930548532393,3.39832045697866,3
