CurveID,CurveLabel,Species,Temp,Medium,Rep,TimeUnits,PopBioUnits,NObservations,UniqueTimeValues,MinTime,MaxTime,MinPopBio,MaxPopBio,PopBioRange
C146,"Lactobaciulus plantarum_10_MRS_1_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",Lactobaciulus plantarum,10.000000,MRS,1,Hours,N,151,151,1.486655,345.070292,1.174915,7072.428709,7071.253794
C148,"Lactobaciulus plantarum_20_MRS_1_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",Lactobaciulus plantarum,20.000000,MRS,1,Hours,N,108,108,0.994437,56.136779,1.339311,21271.271032,21269.931721
C149,"Lactobaciulus plantarum_25_MRS_1_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",Lactobaciulus plantarum,25.000000,MRS,1,Hours,N,89,87,0.057355,51.955747,2.182619,27151.735748,27149.553129
C147,"Lactobaciulus plantarum_15_MRS_1_Zwietering, M.H., De Wit, J.C., Cuppers, H.G.A.M. and Van't Riet, K., 1994. Modeling of bacterial growth with shifts in temperature. Appl. Environ. Microbiol., 60(1), pp.204-213.",Lactobaciulus plantarum,15.000000,MRS,1,Hours,N,88,87,1.519692,124.750012,2.479340,25068.972966,25066.493626
C131,"Klebsiella.pneumonia_15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Klebsiella.pneumonia,15.000000,TSB,1,Hours,OD_595,35,34,-0.127761,478.956291,0.005295,0.854463,0.849168
C127,"Klebsiella.pneumonia..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Klebsiella.pneumonia..RDA.R.,15.000000,TSB,1,Hours,OD_595,32,29,0.923788,479.445727,0.016006,0.774288,0.758282
C169,"Pantoea.agglomerans.2_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Pantoea.agglomerans.2,5.000000,TSB,1,Hours,OD_595,31,31,-0.000000,671.084337,0.005217,0.564453,0.559235
C112,"Enterobacter.sp._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Enterobacter.sp.,15.000000,TSB,1,Hours,OD_595,30,30,-0.000000,479.445727,0.026667,0.858667,0.832000
C115,"Enterobacter.sp._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Enterobacter.sp.,5.000000,TSB,1,Hours,OD_595,29,29,-0.000000,669.879518,0.029565,0.581917,0.552352
C165,"Pantoea.agglomerans.1_5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",Pantoea.agglomerans.1,5.000000,TSB,1,Hours,OD_595,29,29,-0.000000,671.084337,0.005217,0.519445,0.514227
