"CurveID","CurveLabel","Species","Temp","Medium","Rep","Model","ResponseScale","FitStatus","NInput","NPositiveUsed","NNonPositiveRemoved","UniqueTimeValues","AIC","BIC","RSS","RMSE","R2"
"C001","Acinetobacter.clacoaceticus..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",15,"TSB",1,"Cubic","log10(PopBio)","success",22,22,0,22,-8.63494058263749,-3.17972831584591,0.552182116010845,0.15842722963999,0.750490994260401
"C001","Acinetobacter.clacoaceticus..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",15,"TSB",1,"Gompertz","log10(PopBio)","success",22,22,0,22,-0.139053170256474,5.31615909653511,0.812450194085266,0.192170638435228,0.632886262953185
"C001","Acinetobacter.clacoaceticus..RDA.R._15_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",15,"TSB",1,"Quadratic","log10(PopBio)","success",22,22,0,22,4.30241326965785,8.66658308309111,1.08881860828168,0.222467424406124,0.508006433917536
"C002","Acinetobacter.clacoaceticus..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",25,"TSB",1,"Cubic","log10(PopBio)","success",15,15,0,15,-5.36715780205553,-1.82690679654448,0.315276876846918,0.144977441198489,0.808712903465257
"C002","Acinetobacter.clacoaceticus..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",25,"TSB",1,"Gompertz","log10(PopBio)","success",15,15,0,15,-11.8884897158322,-8.34823871032117,0.204117491331032,0.116652615724647,0.876156340232884
"C002","Acinetobacter.clacoaceticus..RDA.R._25_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",25,"TSB",1,"Quadratic","log10(PopBio)","success",15,15,0,15,1.0913530893327,3.92355389374154,0.554103755198595,0.192198466035952,0.663810110113462
"C003","Acinetobacter.clacoaceticus..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",35,"TSB",1,"Cubic","log10(PopBio)","success",15,15,0,15,-1.51713569166385,2.0231153138472,0.407531963468397,0.164829601602867,0.680833066846745
"C003","Acinetobacter.clacoaceticus..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",35,"TSB",1,"Gompertz","log10(PopBio)","success",15,15,0,15,-20.4331379315737,-16.8928869260626,0.11547482623952,0.0877400806319512,0.909563544823324
"C003","Acinetobacter.clacoaceticus..RDA.R._35_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",35,"TSB",1,"Quadratic","log10(PopBio)","success",15,15,0,15,4.02372431398224,6.85592511839108,0.673739385635627,0.211933855347311,0.472347318164267
"C004","Acinetobacter.clacoaceticus..RDA.R._5_TSB_1_Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.","Acinetobacter.clacoaceticus..RDA.R.",5,"TSB",1,"Cubic","log10(PopBio)","success",29,29,0,29,-98.3635687684971,-91.5270896185647,0.0404675030193895,0.0373554699956999,0.928761797056763
