"CurveID","Model","Parameter","Estimate"
"C001","Cubic","(Intercept)",-1.72521381192809
"C001","Cubic","poly(Time, 3, raw = TRUE)1",0.0135596556631982
"C001","Cubic","poly(Time, 3, raw = TRUE)2",-5.56051722781545e-05
"C001","Cubic","poly(Time, 3, raw = TRUE)3",6.41145217929294e-08
"C001","Gompertz","N_0",-2.27351730321517
"C001","Gompertz","N_max",-0.75292569605205
"C001","Gompertz","r_max",0.0766921115134104
"C001","Gompertz","t_lag",-9.60311301552813
"C001","Quadratic","(Intercept)",-1.49214624900988
"C001","Quadratic","poly(Time, 2, raw = TRUE)1",0.00547959883610696
"C001","Quadratic","poly(Time, 2, raw = TRUE)2",-1.04162747137526e-05
"C002","Cubic","(Intercept)",-1.66973889203321
"C002","Cubic","poly(Time, 3, raw = TRUE)1",0.0444076819784169
"C002","Cubic","poly(Time, 3, raw = TRUE)2",-0.000605460109669888
"C002","Cubic","poly(Time, 3, raw = TRUE)3",2.2573873844834e-06
"C002","Gompertz","N_0",-1.97428461609866
"C002","Gompertz","N_max",-0.843947815572614
"C002","Gompertz","r_max",0.232162215942552
"C002","Gompertz","t_lag",-0.608311895558134
"C002","Quadratic","(Intercept)",-1.54500741516082
"C002","Quadratic","poly(Time, 2, raw = TRUE)1",0.0203047065861598
"C002","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000128949273840711
"C003","Cubic","(Intercept)",-1.54245243897397
"C003","Cubic","poly(Time, 3, raw = TRUE)1",0.0418590482929479
"C003","Cubic","poly(Time, 3, raw = TRUE)2",-0.000614195626026981
"C003","Cubic","poly(Time, 3, raw = TRUE)3",2.42553651772896e-06
"C003","Gompertz","N_0",-1.8739010767114
"C003","Gompertz","N_max",-0.856869611562136
"C003","Gompertz","r_max",0.292463458836741
"C003","Gompertz","t_lag",0.431968714414612
"C003","Quadratic","(Intercept)",-1.39523005547403
"C003","Quadratic","poly(Time, 2, raw = TRUE)1",0.0155080523265403
"C003","Quadratic","poly(Time, 2, raw = TRUE)2",-9.94260773074756e-05
"C004","Cubic","(Intercept)",-1.80186855563856
"C004","Cubic","poly(Time, 3, raw = TRUE)1",0.00266617980652245
"C004","Cubic","poly(Time, 3, raw = TRUE)2",-5.17507064209632e-06
"C004","Cubic","poly(Time, 3, raw = TRUE)3",3.37344072816315e-09
"C004","Gompertz","N_0",-1.90322898346677
"C004","Gompertz","N_max",-1.26766254125909
"C004","Gompertz","r_max",0.00325038291685224
"C004","Gompertz","t_lag",-117.873608157751
"C004","Quadratic","(Intercept)",-1.75699874287556
"C004","Quadratic","poly(Time, 2, raw = TRUE)1",0.00177425395397332
"C004","Quadratic","poly(Time, 2, raw = TRUE)2",-1.78271258852245e-06
"C005","Cubic","(Intercept)",-1.43860941222297
"C005","Cubic","poly(Time, 3, raw = TRUE)1",0.0117055395622459
"C005","Cubic","poly(Time, 3, raw = TRUE)2",-4.72101036184429e-05
"C005","Cubic","poly(Time, 3, raw = TRUE)3",5.45848018318731e-08
"C005","Gompertz","N_0",-2.09555495892309
"C005","Gompertz","N_max",-0.605732232789696
"C005","Gompertz","r_max",0.188229366426767
"C005","Gompertz","t_lag",-1.77038699445922
"C005","Quadratic","(Intercept)",-1.23233125482811
"C005","Quadratic","poly(Time, 2, raw = TRUE)1",0.00474434402773169
"C005","Quadratic","poly(Time, 2, raw = TRUE)2",-8.57512517818226e-06
"C006","Cubic","(Intercept)",-1.51990045691769
"C006","Cubic","poly(Time, 3, raw = TRUE)1",0.0466832287898083
"C006","Cubic","poly(Time, 3, raw = TRUE)2",-0.000651254117329108
"C006","Cubic","poly(Time, 3, raw = TRUE)3",2.41360280331539e-06
"C006","Gompertz","N_0",-1.79805693659835
"C006","Gompertz","N_max",-0.703260240320586
"C006","Gompertz","r_max",0.223672083665578
"C006","Gompertz","t_lag",-0.804609361088181
"C006","Quadratic","(Intercept)",-1.39363843166994
"C006","Quadratic","poly(Time, 2, raw = TRUE)1",0.0211222602039188
"C006","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000142961893533623
"C007","Cubic","(Intercept)",-1.35312715914903
"C007","Cubic","poly(Time, 3, raw = TRUE)1",0.0502475676641668
"C007","Cubic","poly(Time, 3, raw = TRUE)2",-0.000701072235216005
"C007","Cubic","poly(Time, 3, raw = TRUE)3",2.81582728551079e-06
"C007","Gompertz","N_0",-1.79471441649948
"C007","Gompertz","N_max",-0.355388121234268
"C007","Gompertz","r_max",0.303292392766172
"C007","Gompertz","t_lag",-0.582806084983915
"C007","Quadratic","(Intercept)",-1.19601515805702
"C007","Quadratic","poly(Time, 2, raw = TRUE)1",0.0201171678277047
"C007","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000106195621369538
"C008","Cubic","(Intercept)",-1.74168931445189
"C008","Cubic","poly(Time, 3, raw = TRUE)1",0.00482146814115229
"C008","Cubic","poly(Time, 3, raw = TRUE)2",-9.43323918782851e-06
"C008","Cubic","poly(Time, 3, raw = TRUE)3",6.06904245881592e-09
"C008","Gompertz","N_0",-1.75461072882879
"C008","Gompertz","N_max",-0.885372338112561
"C008","Gompertz","r_max",0.00738076087209588
"C008","Gompertz","t_lag",-21.2351441035569
"C008","Quadratic","(Intercept)",-1.65929209690216
"C008","Quadratic","poly(Time, 2, raw = TRUE)1",0.00320642091636565
"C008","Quadratic","poly(Time, 2, raw = TRUE)2",-3.31727746960516e-06
"C009","Cubic","(Intercept)",-1.6142391840471
"C009","Cubic","poly(Time, 3, raw = TRUE)1",0.0146844747303019
"C009","Cubic","poly(Time, 3, raw = TRUE)2",-6.35656872555674e-05
"C009","Cubic","poly(Time, 3, raw = TRUE)3",7.53260423966304e-08
"C009","Gompertz","N_0",-2.5620909644605
"C009","Gompertz","N_max",-0.644765010581276
"C009","Gompertz","r_max",0.47303144605416
"C009","Gompertz","t_lag",-0.147544364497578
"C009","Quadratic","(Intercept)",-1.43286892600498
"C009","Quadratic","poly(Time, 2, raw = TRUE)1",0.00590920481571305
"C009","Quadratic","poly(Time, 2, raw = TRUE)2",-1.16422058733775e-05
"C010","Cubic","(Intercept)",-1.71596130772453
"C010","Cubic","poly(Time, 3, raw = TRUE)1",0.0621931174932564
"C010","Cubic","poly(Time, 3, raw = TRUE)2",-0.000846558576794173
"C010","Cubic","poly(Time, 3, raw = TRUE)3",3.08045274776497e-06
"C010","Gompertz","N_0",-2.27490547891853
"C010","Gompertz","N_max",-0.819705338798414
"C010","Gompertz","r_max",0.425524014030316
"C010","Gompertz","t_lag",-0.999093194572331
"C010","Quadratic","(Intercept)",-1.557403498608
"C010","Quadratic","poly(Time, 2, raw = TRUE)1",0.0296693089056973
"C010","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000198494470771337
"C011","Cubic","(Intercept)",-1.45622710299349
"C011","Cubic","poly(Time, 3, raw = TRUE)1",0.0605141079577426
"C011","Cubic","poly(Time, 3, raw = TRUE)2",-0.000847156019356574
